,주차장코드,주차장명,주소,검색어,url
126,1374090,수서역남 공영주차장(시),강남구 수서동 727-0,수서역남 공영주차장,https://pcmap.place.naver.com/restaurant/21185617/review/visitor#
127,1384005,남부골목 전통시장 고객주차장(구),강서구 화곡동 797-7,남부골목 전통시장 고객주차장,
128,1384007,까치산 전통시장 고객주차장(구),강서구 화곡동 342-16,까치산 전통시장 고객주차장,
129,1384008,송화골목 전통시장 고객주차장(구),강서구 내발산동 720-4,송화골목 전통시장 고객주차장,
130,1384016,가로공원로 지하 주차장(구),강서구 화곡동 662-15,가로공원로 지하 주차장,
131,1384198,동대문 공영주차장(시),중구 신당동 251-7,동대문 공영주차장,https://pcmap.place.naver.com/restaurant/35940196/review/visitor#
132,1384627,큰마을길(구),강북구 미아동 309-14,큰마을길 주차장,https://pcmap.place.naver.com/restaurant/36010739/review/visitor#
133,1384980,교육청길(구),강북구 미아동 137-19,교육청길 주차장,https://pcmap.place.naver.com/restaurant/36010740/review/visitor#
134,1385457,신문로 공영주차장(시),종로구 신문로1가 58-36,신문로 공영주차장,https://pcmap.place.naver.com/restaurant/1120876305/review/visitor#
135,1386536,서울글로벌센터 공영주차장(시),종로구 서린동 63-0,서울글로벌센터 공영주차장,
136,1397591,용답제2(평면) 공영주차장(구),성동구 용답동 182-10,용답제2 공영주차장,https://pcmap.place.naver.com/restaurant/1986919827/review/visitor#
137,1398740,신교공영(구),종로구 신교동 66-0,신교공영 주차장,https://pcmap.place.naver.com/restaurant/18661943/review/visitor#
138,1404649,오류1동 텃골주차장(구),구로구 오류동 6-11,오류1동 텃골주차장,https://pcmap.place.naver.com/restaurant/1051376431/review/visitor#
139,1404936,천왕역 공영주차장(시),구로구 오류동 174-10,천왕역 공영주차장,https://pcmap.place.naver.com/restaurant/36046294/review/visitor#
140,1410226,중곡시장주차장(구),광진구 중곡동 221-6,중곡시장주차장,https://pcmap.place.naver.com/restaurant/36028596/review/visitor#
141,1412826,매바위 공영주차장(구),은평구 응암동 747-8,매바위 공영주차장,https://pcmap.place.naver.com/restaurant/1374667795/review/visitor#
142,1412893,자양전통시장 공영주차장(구),광진구 자양동 631-18,자양전통시장 공영주차장,
143,1415512,견인보관소(구),동대문구 휘경동 361-0,견인보관소 주차장,https://pcmap.place.naver.com/restaurant/466952628/review/visitor#
144,1415917,구룡 공영주차장(구),금천구 독산동 964-0,구룡 공영주차장,https://pcmap.place.naver.com/restaurant/35452705/review/visitor#
145,1415929,다목적 공영주차장(구),금천구 독산동 971-0,다목적 공영주차장,https://pcmap.place.naver.com/restaurant/1029448647/review/visitor#
146,1416322,영등포본동제2공영(구),영등포구 신길동 186-355,영등포본동제2공영 주차장,https://pcmap.place.naver.com/restaurant/36005582/review/visitor#
147,1417234,면목초교주자창(구),중랑구 면목동 192-1,면목초교주자창 주차장,
148,1418248,방배열린문화센터 공영주차장(구),서초구 방배동 852-14,방배열린문화센터 공영주차장,https://pcmap.place.naver.com/restaurant/35824279/review/visitor#
149,1421476,풍납유수지공영주차장(구),송파구 풍납동 387-0,풍납유수지공영주차장,https://pcmap.place.naver.com/restaurant/18852745/review/visitor#
150,1421586,나눔터길 노상공영(구),강북구 수유동 605-185,나눔터길 노상공영 주차장,https://pcmap.place.naver.com/restaurant/35913823/review/visitor#
151,1423651,서강대역 환승 공영주차장(구),마포구 신수동 93-35,서강대역 환승 공영주차장,https://pcmap.place.naver.com/restaurant/35824325/review/visitor#
152,1423770,남부초등학교(지하주차장)(구),관악구 신림동 467-0,남부초등학교 주차장,https://pcmap.place.naver.com/restaurant/283621761/review/visitor#
153,1423842,마장축산물시장 서문(건물) 공영주차장(구),성동구 마장동 522-1,마장축산물시장 서문 공영주차장,https://pcmap.place.naver.com/restaurant/915701270/review/visitor#
154,1424206,다산아트 공영주차장(구),중구 신당동 432-612,다산아트 공영주차장,https://pcmap.place.naver.com/restaurant/35830354/review/visitor#
155,1424461,DDP북측 마장로 관광버스전용 주차장(시),중구 신당동 222-3,DDP북측 마장로 관광버스전용 주차장,https://pcmap.place.naver.com/restaurant/37743242/review/visitor#
156,1425391,영등포구청별관 공영주차장(구),영등포구 당산동3가 560-0,영등포구청별관 공영주차장,https://pcmap.place.naver.com/restaurant/1946909728/review/visitor#
157,1425816,동국제강 공영주차장(시),중구 삼각동 111-1,동국제강 공영주차장,https://pcmap.place.naver.com/restaurant/877462454/review/visitor#
158,1430035,남대문 초입 관광버스전용 주차장(시),중구 남창동 282-10,남대문 초입 관광버스전용 주차장,
159,1430042,남대문 시장 관광버스전용 주차장(시),중구 남창동 51-4,남대문 시장 관광버스전용 주차장,https://pcmap.place.naver.com/restaurant/37743240/review/visitor#
160,1431448,고척근린공원지하주차장(구),구로구 고척동 9-14,고척근린공원지하주차장,
161,1432682,구로4동 주택가 공동 주차장(구),구로구 구로동 741-44,구로4동 주택가 공동 주차장,https://pcmap.place.naver.com/restaurant/38301029/review/visitor#
162,1433547,한남동 공영주차장(구),용산구 한남동 685-46,한남동 공영주차장,https://pcmap.place.naver.com/restaurant/37878473/review/visitor#
